lambda1,lambda2,gamma,top_inputs,top_targets,max_terms,quad_base,mean_L3_error,max_L3_error,mean_full_error,max_full_error
0.0005,0.00025,0.002,2,5,3,2,83.5737639949435,255.600738525391,26.5693653197516,34.3537747859955
0.0005,0.00025,0.002,3,8,5,3,64.2753594333217,140.050852298737,31.589769252709,41.4684534072876
0.0005,0.00025,0.002,5,11,7,4,253.203978566896,689.507007598877,58.141550279799,128.455030918121
0.0005,0.00025,0.002,8,14,8,6,273.019923482622,743.483066558838,59.268554122675,129.752933979034
0.0005,0.00025,0.002,12,18,10,8,191.265668471654,360.422396659851,50.6231525114604,84.5261812210083
0.001,0.0005,0.006,2,5,3,2,94.8841974139214,353.623723983765,27.1298808001337,37.0065718889236
0.001,0.0005,0.006,3,8,5,3,233.242736543928,546.315670013428,53.7830804785093,95.7370817661285
0.001,0.0005,0.006,5,11,7,4,127.905983016604,339.116239547729,38.3921065500804,72.2515463829041
0.001,0.0005,0.006,8,14,8,6,233.969935632887,624.814414978027,56.8794987031392,122.815406322479
0.001,0.0005,0.006,12,18,10,8,170.676368758792,362.681460380554,47.7905849615733,82.0944428443909
0.003,0.0015,0.012,2,5,3,2,102.583701199009,370.089077949524,27.5652038199561,38.6372119188309
0.003,0.0015,0.012,3,8,5,3,200.742840057328,478.382587432861,49.1229417778197,85.5055451393127
0.003,0.0015,0.012,5,11,7,4,96.1813151836395,197.138178348541,34.5091829697291,47.5526452064514
0.003,0.0015,0.012,8,14,8,6,206.098423117683,661.482191085815,52.0031545843397,130.370485782623
0.003,0.0015,0.012,12,18,10,8,141.240273061253,316.490149497986,42.7658800567899,75.6590783596039
0.006,0.004,0.03,2,5,3,2,102.299581255232,369.584965705872,27.527019452481,38.6001348495483
0.006,0.004,0.03,3,8,5,3,76.2366042250679,148.644983768463,32.6822441958246,43.6553478240967
0.006,0.004,0.03,5,11,7,4,93.4609099513008,202.321147918701,34.368589804286,44.5844411849976
0.006,0.004,0.03,8,14,8,6,92.3335891394388,165.017259120941,33.497982720534,43.8860207796097
0.006,0.004,0.03,12,18,10,8,97.1286099581491,194.433069229126,36.6954453644298,53.5961627960205
0.01,0.006,0.05,2,5,3,2,101.704134898526,367.795252799988,27.4522031346957,38.4790062904358
0.01,0.006,0.05,3,8,5,3,74.3750969568888,155.330157279968,31.650619776476,46.8150436878204
0.01,0.006,0.05,5,11,7,4,103.086029915583,209.850716590881,34.2616141552017,46.8853026628494
0.01,0.006,0.05,8,14,8,6,86.2196658338819,177.819418907166,35.5380716777983,51.4777600765228
0.01,0.006,0.05,12,18,10,8,98.8262887511935,200.514149665833,38.1600691449074,55.9774577617645
0.02,0.01,0.08,2,5,3,2,100.58099755219,363.457894325256,27.3295655846596,38.2055789232254
0.02,0.01,0.08,3,8,5,3,75.1561763740721,151.089823246002,32.0494609219687,47.3941177129745
0.02,0.01,0.08,5,11,7,4,66.6809537581035,115.991067886353,30.6635261291549,38.2114350795746
0.02,0.01,0.08,8,14,8,6,150.868135974521,342.864894866943,42.9242340581758,103.438401222229
0.02,0.01,0.08,12,18,10,8,111.230323712031,260.915446281433,41.0231185810907,55.4528713226318
0.05,0.025,0.12,2,5,2,2,70.7888546444121,235.156607627869,25.8291650386084,31.7185759544373
0.05,0.025,0.12,3,8,3,2,166.536463726135,383.278656005859,39.2639859091668,69.0270781517029
0.05,0.025,0.12,5,11,4,3,234.942409538087,600.159454345703,53.0560713438761,109.076380729675
0.05,0.025,0.12,8,14,5,4,153.063481904211,344.610214233398,44.1277748772076,97.1704542636871
0.01,0.006,0.006,3,8,5,4,106.887338558833,280.319023132324,33.7560178978103,56.7798852920532
0.02,0.01,0.006,5,11,5,4,131.355705431529,349.501967430115,39.7308656147548,73.8529205322266
0.05,0.025,0.006,8,14,5,4,594.443504015605,1466.26672744751,125.218139234043,254.418182373047
0.001,0.0005,0.05,3,8,5,4,61.921709563051,111.556589603424,30.0310339246477,38.7776166200638
0.003,0.0015,0.08,5,11,5,4,69.8064950250444,108.609700202942,31.6822417435192,40.1196330785751
0.006,0.004,0.12,8,14,5,4,58.9791509367171,115.134978294373,32.818502116771,41.972342133522
0.003,0.0015,0.05,2,3,3,2,80.8604715658086,365.143251419067,24.2008487383525,31.7929863929749
0.003,0.0015,0.05,3,5,5,3,75.0630891748837,126.706779003143,26.9598906238874,38.8310849666595
0.003,0.0015,0.05,12,22,8,6,92.0176186022304,216.55752658844,37.2657734013739,61.2686216831207
0.006,0.004,0.08,16,24,10,8,103.036931866691,260.638689994812,37.5226410371917,66.1828398704529
